TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.05370059,1.142289,-0.07660924,0.06632767,0.8555449,0.06048257,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.05370059,1.142289,-0.07660924,0.06632767,0.8555449,0.06048257,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,-0.2085655,1.195879,-0.4480616,0,0,0,-0.1941167,0.02033589,0.02096903
