TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 3; Best Score: 120,2,CenterEyeAnchor,0.001179717,1.402183,-1.002099,0.001179717,1.402183,-1.002099,-0.01378271,0.001132389,-0.006568687,-0.01378271,0.001132389,-0.006568687
Reset#: 4; Best Score: 120,0,BlueSunWithTrail,0.0187742,1.153448,-0.2503731,0.0187742,1.153448,-0.2503731,0,0,0,0,0,0
Reset#: 4; Best Score: 120,1,BlueSunWithTrail,0.0187742,1.153448,-0.2503731,0.0187742,1.153448,-0.2503731,0,0,0,0,0,0
Reset#: 4; Best Score: 120,2,CenterEyeAnchor,0.001180895,1.402183,-1.002099,0.001180895,1.402183,-1.002099,-0.01378249,0.001139943,-0.006571738,-0.01378249,0.001139943,-0.006571738
Reset#: 5; Best Score: 120,0,BlueSunWithTrail,-0.1561482,0.9245252,-0.2243366,-0.1561482,0.9245252,-0.2243366,0,0,0,0,0,0
Reset#: 5; Best Score: 120,1,BlueSunWithTrail,-0.1561482,0.9245252,-0.2243366,-0.1561482,0.9245252,-0.2243366,0,0,0,0,0,0
Reset#: 5; Best Score: 120,2,CenterEyeAnchor,0.001184146,1.402182,-1.002099,0.001184146,1.402182,-1.002099,-0.01378043,0.001149028,-0.006581758,-0.01378043,0.001149028,-0.006581758
Reset#: 6; Best Score: 120,0,BlueSunWithTrail,0.08199599,0.7697705,-0.09519532,0.08199599,0.7697705,-0.09519532,0,0,0,0,0,0
Reset#: 6; Best Score: 120,1,BlueSunWithTrail,0.08199599,0.7697705,-0.09519532,0.08199599,0.7697705,-0.09519532,0,0,0,0,0,0
Reset#: 6; Best Score: 120,2,CenterEyeAnchor,0.001185879,1.402179,-1.002095,0.001185879,1.402179,-1.002095,-0.01375632,0.001160263,-0.006580885,-0.01375632,0.001160263,-0.006580885
Reset#: 7; Best Score: 120,0,BlueSunWithTrail,0.1845973,0.9874495,-0.1478185,0.1845973,0.9874495,-0.1478185,0,0,0,0,0,0
Reset#: 7; Best Score: 120,1,BlueSunWithTrail,0.1845973,0.9874495,-0.1478185,0.1845973,0.9874495,-0.1478185,0,0,0,0,0,0
Reset#: 7; Best Score: 120,2,CenterEyeAnchor,0.001185857,1.402179,-1.002096,0.001185857,1.402179,-1.002096,-0.01376557,0.001157771,-0.006579143,-0.01376557,0.001157771,-0.006579143
Reset#: 8; Best Score: 120,0,BlueSunWithTrail,-0.05128613,0.8671306,-0.04724422,-0.05128613,0.8671306,-0.04724422,0,0,0,0,0,0
Reset#: 8; Best Score: 120,1,BlueSunWithTrail,-0.05128613,0.8671306,-0.04724422,-0.05128613,0.8671306,-0.04724422,0,0,0,0,0,0
Reset#: 8; Best Score: 120,2,CenterEyeAnchor,0.00118642,1.402182,-1.002099,0.00118642,1.402182,-1.002099,-0.01378211,0.001157104,-0.006586955,-0.01378211,0.001157104,-0.006586955
Reset#: 9; Best Score: 120,0,BlueSunWithTrail,-0.1852976,1.142007,0.03506965,-0.1562614,1.125501,0.04943734,0,0,0,0,0,0
Reset#: 9; Best Score: 120,1,BlueSunWithTrail,-0.1852976,1.142007,0.03506965,-0.1562614,1.125501,0.04943734,0,0,0,0,0,0
Reset#: 9; Best Score: 120,2,CenterEyeAnchor,0.001187899,1.402182,-1.002102,0.001196206,1.402189,-1.002109,-0.01381161,0.001163718,-0.006587519,-0.01386884,0.001198191,-0.006594606
Reset#: 10; Best Score: 120,0,BlueSunWithTrail,0.06240252,1.026305,-0.0547622,0.06240252,1.026305,-0.0547622,0,0,0,0,0,0
Reset#: 10; Best Score: 120,1,BlueSunWithTrail,0.06240252,1.026305,-0.0547622,0.06240252,1.026305,-0.0547622,0,0,0,0,0,0
Reset#: 10; Best Score: 120,2,CenterEyeAnchor,0.001197486,1.402192,-1.00211,0.001197486,1.402192,-1.00211,-0.01385887,0.001200965,-0.006605317,-0.01385887,0.001200965,-0.006605317
Reset#: 11; Best Score: 120,0,BlueSunWithTrail,0.08166584,0.9505656,-0.06340745,0.08166584,0.9505656,-0.06340745,0,0,0,0,0,0
Reset#: 11; Best Score: 120,1,BlueSunWithTrail,0.08166584,0.9505656,-0.06340745,0.08166584,0.9505656,-0.06340745,0,0,0,0,0,0
Reset#: 11; Best Score: 120,2,CenterEyeAnchor,0.001199323,1.402194,-1.00211,0.001199323,1.402194,-1.00211,-0.01385365,0.00121646,-0.006610944,-0.01385365,0.00121646,-0.006610944
Reset#: 12; Best Score: 120,0,BlueSunWithTrail,0.1038208,1.057982,0.2504699,0.1038208,1.057982,0.2504699,0,0,0,0,0,0
Reset#: 12; Best Score: 120,1,BlueSunWithTrail,0.1038208,1.057982,0.2504699,0.1038208,1.057982,0.2504699,0,0,0,0,0,0
Reset#: 12; Best Score: 120,2,CenterEyeAnchor,0.001200055,1.402192,-1.002108,0.001200055,1.402192,-1.002108,-0.01384172,0.001216422,-0.006615957,-0.01384172,0.001216422,-0.006615957
Reset#: 13; Best Score: 120,0,BlueSunWithTrail,0.0226963,0.8542879,-0.1826001,0.0226963,0.8542879,-0.1826001,0,0,0,0,0,0
Reset#: 13; Best Score: 120,1,BlueSunWithTrail,0.0226963,0.8542879,-0.1826001,0.0226963,0.8542879,-0.1826001,0,0,0,0,0,0
Reset#: 13; Best Score: 120,2,CenterEyeAnchor,0.001201008,1.402188,-1.002105,0.001201008,1.402188,-1.002105,-0.01382231,0.001220321,-0.006618756,-0.01382231,0.001220321,-0.006618756
Reset#: 14; Best Score: 120,0,BlueSunWithTrail,0.2073103,0.9218751,-0.16802,0.2073103,0.9218751,-0.16802,0,0,0,0,0,0
Reset#: 14; Best Score: 120,1,BlueSunWithTrail,0.2073103,0.9218751,-0.16802,0.2073103,0.9218751,-0.16802,0,0,0,0,0,0
Reset#: 14; Best Score: 120,2,CenterEyeAnchor,0.001203637,1.402185,-1.002102,0.001203637,1.402185,-1.002102,-0.01380539,0.001214141,-0.006637498,-0.01380539,0.001214141,-0.006637498
Reset#: 15; Best Score: 120,0,BlueSunWithTrail,-0.111269,0.8639189,-0.07723236,-0.1124009,0.8647712,-0.07327595,0,0,0,0,0,0
Reset#: 15; Best Score: 120,1,BlueSunWithTrail,-0.111269,0.8639189,-0.07723236,-0.1124009,0.8647712,-0.07327595,0,0,0,0,0,0
Reset#: 15; Best Score: 120,2,CenterEyeAnchor,0.001203553,1.402184,-1.002105,0.001204107,1.402188,-1.002105,-0.01385883,0.001209441,-0.006623247,-0.01381382,0.001224178,-0.006637903
Reset#: 16; Best Score: 120,0,BlueSunWithTrail,-0.08322555,0.9903402,-0.2370377,-0.08322555,0.9903402,-0.2370377,0,0,0,0,0,0
Reset#: 16; Best Score: 120,1,BlueSunWithTrail,-0.08322555,0.9903402,-0.2370377,-0.08322555,0.9903402,-0.2370377,0,0,0,0,0,0
Reset#: 16; Best Score: 120,2,CenterEyeAnchor,0.001204628,1.402189,-1.002106,0.001204628,1.402189,-1.002106,-0.01382431,0.001236682,-0.006627866,-0.01382431,0.001236682,-0.006627866
Reset#: 17; Best Score: 120,0,BlueSunWithTrail,-0.1918204,0.8051479,-0.07304589,-0.1918204,0.8051479,-0.07304589,0,0,0,0,0,0
Reset#: 17; Best Score: 120,1,BlueSunWithTrail,-0.1918204,0.8051479,-0.07304589,-0.1918204,0.8051479,-0.07304589,0,0,0,0,0,0
Reset#: 17; Best Score: 120,2,CenterEyeAnchor,0.001204476,1.402192,-1.002108,0.001204476,1.402192,-1.002108,-0.0138413,0.001234553,-0.006621518,-0.0138413,0.001234553,-0.006621518
Reset#: 18; Best Score: 120,0,BlueSunWithTrail,-0.0119021,1.105192,-0.2784658,-0.0119021,1.105192,-0.2784658,0,0,0,0,0,0
Reset#: 18; Best Score: 120,1,BlueSunWithTrail,-0.0119021,1.105192,-0.2784658,-0.0119021,1.105192,-0.2784658,0,0,0,0,0,0
Reset#: 18; Best Score: 120,2,CenterEyeAnchor,0.001204328,1.402196,-1.002113,0.001204328,1.402196,-1.002113,-0.01387007,0.001235181,-0.006624049,-0.01387007,0.001235181,-0.006624049
Reset#: 19; Best Score: 120,0,BlueSunWithTrail,-0.114866,1.203517,0.01558108,-0.114866,1.203517,0.01558108,0,0,0,0,0,0
Reset#: 19; Best Score: 120,1,BlueSunWithTrail,-0.114866,1.203517,0.01558108,-0.114866,1.203517,0.01558108,0,0,0,0,0,0
Reset#: 19; Best Score: 120,2,CenterEyeAnchor,0.001203973,1.402195,-1.002111,0.001203973,1.402195,-1.002111,-0.01385996,0.00124287,-0.006611329,-0.01385996,0.00124287,-0.006611329
Reset#: 20; Best Score: 120,0,BlueSunWithTrail,-0.04691758,1.116882,0.02210652,-0.04691758,1.116882,0.02210652,0,0,0,0,0,0
Reset#: 20; Best Score: 120,1,BlueSunWithTrail,-0.04691758,1.116882,0.02210652,-0.04691758,1.116882,0.02210652,0,0,0,0,0,0
Reset#: 20; Best Score: 120,2,CenterEyeAnchor,0.001205956,1.40219,-1.002105,0.001205956,1.40219,-1.002105,-0.01381044,0.00125478,-0.006624063,-0.01381044,0.00125478,-0.006624063
Reset#: 21; Best Score: 120,0,BlueSunWithTrail,0.01019205,1.134876,-0.1436335,0.01019205,1.134876,-0.1436335,0,0,0,0,0,0
Reset#: 21; Best Score: 120,1,BlueSunWithTrail,0.01019205,1.134876,-0.1436335,0.01019205,1.134876,-0.1436335,0,0,0,0,0,0
Reset#: 21; Best Score: 120,2,CenterEyeAnchor,0.001207058,1.40219,-1.002107,0.001207058,1.40219,-1.002107,-0.0138303,0.001249195,-0.006626401,-0.0138303,0.001249195,-0.006626401
Reset#: 22; Best Score: 120,0,BlueSunWithTrail,0.1637013,1.04198,0.06295415,0.1637013,1.04198,0.06295415,0,0,0,0,0,0
Reset#: 22; Best Score: 120,1,BlueSunWithTrail,0.1637013,1.04198,0.06295415,0.1637013,1.04198,0.06295415,0,0,0,0,0,0
Reset#: 22; Best Score: 120,2,CenterEyeAnchor,0.001207619,1.402188,-1.002105,0.001207619,1.402188,-1.002105,-0.01381835,0.00125267,-0.006625915,-0.01381835,0.00125267,-0.006625915
Reset#: 23; Best Score: 120,0,BlueSunWithTrail,0.2336988,0.9464049,0.0454624,0.2336988,0.9464049,0.0454624,0,0,0,0,0,0
Reset#: 23; Best Score: 120,1,BlueSunWithTrail,0.2336988,0.9464049,0.0454624,0.2336988,0.9464049,0.0454624,0,0,0,0,0,0
Reset#: 23; Best Score: 120,2,CenterEyeAnchor,0.001208279,1.402187,-1.002104,0.001208279,1.402187,-1.002104,-0.01381551,0.001259426,-0.006621373,-0.01381551,0.001259426,-0.006621373
Reset#: 24; Best Score: 120,0,BlueSunWithTrail,0.2135065,0.9614801,0.02479376,-0.1126787,0.9623315,0.04336094,0,0,0,0,0,0
Reset#: 24; Best Score: 120,1,BlueSunWithTrail,0.2135065,0.9614801,0.02479376,-0.1126787,0.9623315,0.04336094,0,0,0,0,0,0
Reset#: 24; Best Score: 120,2,CenterEyeAnchor,0.001207831,1.402191,-1.002108,0.001305997,1.40219,-1.002108,-0.01383941,0.001258785,-0.006620895,-0.01383528,0.001852331,-0.006647512
Reset#: 25; Best Score: 120,0,BlueSunWithTrail,-0.09579004,0.9675035,-0.2628642,-0.09579004,0.9675035,-0.2628642,0,0,0,0,0,0
Reset#: 25; Best Score: 120,1,BlueSunWithTrail,-0.09579004,0.9675035,-0.2628642,-0.09579004,0.9675035,-0.2628642,0,0,0,0,0,0
Reset#: 25; Best Score: 120,2,CenterEyeAnchor,0.001307093,1.402192,-1.00211,0.001307093,1.402192,-1.00211,-0.01384622,0.001858204,-0.006647612,-0.01384622,0.001858204,-0.006647612
Reset#: 26; Best Score: 120,0,BlueSunWithTrail,0.1451363,1.000759,-0.100548,0.1451363,1.000759,-0.100548,0,0,0,0,0,0
Reset#: 26; Best Score: 120,1,BlueSunWithTrail,0.1451363,1.000759,-0.100548,0.1451363,1.000759,-0.100548,0,0,0,0,0,0
Reset#: 26; Best Score: 120,2,CenterEyeAnchor,0.001306389,1.402193,-1.002111,0.001306389,1.402193,-1.002111,-0.0138521,0.001865799,-0.006638184,-0.0138521,0.001865799,-0.006638184
Reset#: 27; Best Score: 120,0,BlueSunWithTrail,0.2117744,1.078821,-0.006090892,0.2117744,1.078821,-0.006090892,0,0,0,0,0,0
Reset#: 27; Best Score: 120,1,BlueSunWithTrail,0.2117744,1.078821,-0.006090892,0.2117744,1.078821,-0.006090892,0,0,0,0,0,0
Reset#: 27; Best Score: 120,2,CenterEyeAnchor,0.001307618,1.402194,-1.00211,0.001307618,1.402194,-1.00211,-0.01381095,0.001873691,-0.006664723,-0.01381095,0.001873691,-0.006664723
Reset#: 28; Best Score: 120,0,BlueSunWithTrail,-0.1562362,0.9384844,0.1663632,-0.1562362,0.9384844,0.1663632,0,0,0,0,0,0
Reset#: 28; Best Score: 120,1,BlueSunWithTrail,-0.1562362,0.9384844,0.1663632,-0.1562362,0.9384844,0.1663632,0,0,0,0,0,0
Reset#: 28; Best Score: 120,2,CenterEyeAnchor,0.001308206,1.402191,-1.002109,0.001308206,1.402191,-1.002109,-0.01384181,0.001863162,-0.006651705,-0.01384181,0.001863162,-0.006651705
Reset#: 29; Best Score: 120,0,BlueSunWithTrail,-0.1358937,1.027849,0.00545737,-0.1358937,1.027849,0.00545737,0,0,0,0,0,0
Reset#: 29; Best Score: 120,1,BlueSunWithTrail,-0.1358937,1.027849,0.00545737,-0.1358937,1.027849,0.00545737,0,0,0,0,0,0
Reset#: 29; Best Score: 120,2,CenterEyeAnchor,0.001309495,1.402189,-1.002107,0.001309495,1.402189,-1.002107,-0.01382759,0.00186257,-0.006657956,-0.01382759,0.00186257,-0.006657956
Reset#: 30; Best Score: 120,0,BlueSunWithTrail,0.02090934,0.8510854,-0.04555141,0.02090934,0.8510854,-0.04555141,0,0,0,0,0,0
Reset#: 30; Best Score: 120,1,BlueSunWithTrail,0.02090934,0.8510854,-0.04555141,0.02090934,0.8510854,-0.04555141,0,0,0,0,0,0
Reset#: 30; Best Score: 120,2,CenterEyeAnchor,0.001308096,1.402189,-1.002108,0.001308096,1.402189,-1.002108,-0.01383285,0.001856792,-0.006654417,-0.01383285,0.001856792,-0.006654417
Reset#: 31; Best Score: 120,0,BlueSunWithTrail,-0.2515689,0.8950908,-0.09897492,-0.2515689,0.8950908,-0.09897492,0,0,0,0,0,0
Reset#: 31; Best Score: 120,1,BlueSunWithTrail,-0.2515689,0.8950908,-0.09897492,-0.2515689,0.8950908,-0.09897492,0,0,0,0,0,0
Reset#: 31; Best Score: 120,2,CenterEyeAnchor,0.001307584,1.402193,-1.002111,0.001307584,1.402193,-1.002111,-0.01385293,0.00186595,-0.006638803,-0.01385293,0.00186595,-0.006638803
Reset#: 32; Best Score: 120,0,BlueSunWithTrail,0.2425903,1.114093,0.04428349,0.2425903,1.114093,0.04428349,0,0,0,0,0,0
Reset#: 32; Best Score: 120,1,BlueSunWithTrail,0.2425903,1.114093,0.04428349,0.2425903,1.114093,0.04428349,0,0,0,0,0,0
Reset#: 32; Best Score: 120,2,CenterEyeAnchor,0.001309693,1.402192,-1.002111,0.001309693,1.402192,-1.002111,-0.01385148,0.001863149,-0.006659073,-0.01385148,0.001863149,-0.006659073
Reset#: 33; Best Score: 120,0,BlueSunWithTrail,-0.1326315,0.9818665,0.2477677,-0.1326315,0.9818665,0.2477677,0,0,0,0,0,0
Reset#: 33; Best Score: 120,1,BlueSunWithTrail,-0.1326315,0.9818665,0.2477677,-0.1326315,0.9818665,0.2477677,0,0,0,0,0,0
Reset#: 33; Best Score: 120,2,CenterEyeAnchor,0.001310155,1.402192,-1.002111,0.001310155,1.402192,-1.002111,-0.01385168,0.00186372,-0.006661777,-0.01385168,0.00186372,-0.006661777
Reset#: 34; Best Score: 120,0,BlueSunWithTrail,-0.145478,1.067223,-0.197922,-0.1499487,1.066892,-0.1924914,0,0,0,0,0,0
Reset#: 34; Best Score: 120,1,BlueSunWithTrail,-0.145478,1.067223,-0.197922,-0.1499487,1.066892,-0.1924914,0,0,0,0,0,0
Reset#: 34; Best Score: 120,2,CenterEyeAnchor,0.001307622,1.402191,-1.002109,0.001320421,1.402184,-1.002102,-0.01384319,0.001866153,-0.006642656,-0.01379732,0.001917545,-0.006673014
Reset#: 35; Best Score: 120,0,BlueSunWithTrail,0.2691313,1.081626,0.05046224,0.2691313,1.081626,0.05046224,0,0,0,0,0,0
Reset#: 35; Best Score: 120,1,BlueSunWithTrail,0.2691313,1.081626,0.05046224,0.2691313,1.081626,0.05046224,0,0,0,0,0,0
Reset#: 35; Best Score: 120,2,CenterEyeAnchor,0.001320001,1.402187,-1.002105,0.001320001,1.402187,-1.002105,-0.01381433,0.001914602,-0.006674072,-0.01381433,0.001914602,-0.006674072
Reset#: 36; Best Score: 120,0,BlueSunWithTrail,0.09336393,0.8758069,0.1337866,0.09336393,0.8758069,0.1337866,0,0,0,0,0,0
Reset#: 36; Best Score: 120,1,BlueSunWithTrail,0.09336393,0.8758069,0.1337866,0.09336393,0.8758069,0.1337866,0,0,0,0,0,0
Reset#: 36; Best Score: 120,2,CenterEyeAnchor,0.001319248,1.402187,-1.002106,0.001319248,1.402187,-1.002106,-0.01381893,0.001916812,-0.00666502,-0.01381893,0.001916812,-0.00666502
Reset#: 37; Best Score: 120,0,BlueSunWithTrail,-0.2373024,0.9867709,0.1801972,-0.2373024,0.9867709,0.1801972,0,0,0,0,0,0
Reset#: 37; Best Score: 120,1,BlueSunWithTrail,-0.2373024,0.9867709,0.1801972,-0.2373024,0.9867709,0.1801972,0,0,0,0,0,0
Reset#: 37; Best Score: 120,2,CenterEyeAnchor,0.00131996,1.40219,-1.00211,0.00131996,1.40219,-1.00211,-0.01384857,0.001927006,-0.006660777,-0.01384857,0.001927006,-0.006660777
Reset#: 38; Best Score: 120,0,BlueSunWithTrail,-0.1514945,0.9877847,-0.08464455,-0.1514945,0.9877847,-0.08464455,0,0,0,0,0,0
Reset#: 38; Best Score: 120,1,BlueSunWithTrail,-0.1514945,0.9877847,-0.08464455,-0.1514945,0.9877847,-0.08464455,0,0,0,0,0,0
Reset#: 38; Best Score: 120,2,CenterEyeAnchor,0.001321158,1.402191,-1.00211,0.001321158,1.402191,-1.00211,-0.01384391,0.001920891,-0.006674226,-0.01384391,0.001920891,-0.006674226
Reset#: 39; Best Score: 120,0,BlueSunWithTrail,0.1251592,1.035539,-0.2086146,0.1251592,1.035539,-0.2086146,0,0,0,0,0,0
Reset#: 39; Best Score: 120,1,BlueSunWithTrail,0.1251592,1.035539,-0.2086146,0.1251592,1.035539,-0.2086146,0,0,0,0,0,0
Reset#: 39; Best Score: 120,2,CenterEyeAnchor,0.001322061,1.40219,-1.002108,0.001322061,1.40219,-1.002108,-0.01383221,0.001926726,-0.006675838,-0.01383221,0.001926726,-0.006675838
Reset#: 40; Best Score: 120,0,BlueSunWithTrail,-0.1740555,0.8136925,0.1350682,-0.1740555,0.8136925,0.1350682,0,0,0,0,0,0
Reset#: 40; Best Score: 120,1,BlueSunWithTrail,-0.1740555,0.8136925,0.1350682,-0.1740555,0.8136925,0.1350682,0,0,0,0,0,0
Reset#: 40; Best Score: 120,2,CenterEyeAnchor,0.001324218,1.402191,-1.00211,0.001324218,1.402191,-1.00211,-0.01384387,0.001937673,-0.006676595,-0.01384387,0.001937673,-0.006676595
Reset#: 41; Best Score: 120,0,BlueSunWithTrail,0.03339216,0.7608399,0.1726134,0.03339216,0.7608399,0.1726134,0,0,0,0,0,0
Reset#: 41; Best Score: 120,1,BlueSunWithTrail,0.03339216,0.7608399,0.1726134,0.03339216,0.7608399,0.1726134,0,0,0,0,0,0
Reset#: 41; Best Score: 120,2,CenterEyeAnchor,0.001323864,1.402195,-1.002114,0.001323864,1.402195,-1.002114,-0.01386658,0.001942166,-0.00667859,-0.01386658,0.001942166,-0.00667859
Reset#: 42; Best Score: 120,0,BlueSunWithTrail,-0.02820263,1.129263,0.1261801,-0.02436011,1.128323,0.1258757,0,0,0,0,0,0
Reset#: 42; Best Score: 120,1,BlueSunWithTrail,-0.02820263,1.129263,0.1261801,-0.02436011,1.128323,0.1258757,0,0,0,0,0,0
Reset#: 42; Best Score: 120,2,CenterEyeAnchor,0.001325175,1.402194,-1.002112,0.001332451,1.402183,-1.002111,-0.01385421,0.001934544,-0.006690513,-0.01390131,0.001954759,-0.006694164
Reset#: 43; Best Score: 120,0,BlueSunWithTrail,-0.002343323,1.061577,-0.2511602,-0.002343323,1.061577,-0.2511602,0,0,0,0,0,0
Reset#: 43; Best Score: 120,1,BlueSunWithTrail,-0.002343323,1.061577,-0.2511602,-0.002343323,1.061577,-0.2511602,0,0,0,0,0,0
Reset#: 43; Best Score: 120,2,CenterEyeAnchor,0.001332912,1.40219,-1.002109,0.001332912,1.40219,-1.002109,-0.01383959,0.001959606,-0.006710867,-0.01383959,0.001959606,-0.006710867
Reset#: 44; Best Score: 120,0,BlueSunWithTrail,-0.02999991,1.033928,-0.2035461,-0.02999991,1.033928,-0.2035461,0,0,0,0,0,0
Reset#: 44; Best Score: 120,1,BlueSunWithTrail,-0.02999991,1.033928,-0.2035461,-0.02999991,1.033928,-0.2035461,0,0,0,0,0,0
Reset#: 44; Best Score: 120,2,CenterEyeAnchor,0.001334452,1.402196,-1.002114,0.001334452,1.402196,-1.002114,-0.01386979,0.001976054,-0.006706388,-0.01386979,0.001976054,-0.006706388
Reset#: 45; Best Score: 120,0,BlueSunWithTrail,0.06231159,1.280765,-0.03781081,0.06231159,1.280765,-0.03781081,0,0,0,0,0,0
Reset#: 45; Best Score: 120,1,BlueSunWithTrail,0.06231159,1.280765,-0.03781081,0.06231159,1.280765,-0.03781081,0,0,0,0,0,0
Reset#: 45; Best Score: 120,2,CenterEyeAnchor,0.001331695,1.402196,-1.002115,0.001331695,1.402196,-1.002115,-0.0138751,0.001965809,-0.00669521,-0.0138751,0.001965809,-0.00669521
Reset#: 46; Best Score: 120,0,BlueSunWithTrail,0.2171523,1.185921,0.04601564,0.2171523,1.185921,0.04601564,0,0,0,0,0,0
Reset#: 46; Best Score: 120,1,BlueSunWithTrail,0.2171523,1.185921,0.04601564,0.2171523,1.185921,0.04601564,0,0,0,0,0,0
Reset#: 46; Best Score: 120,2,CenterEyeAnchor,0.001332323,1.402194,-1.002113,0.001332323,1.402194,-1.002113,-0.01385907,0.001974451,-0.006696661,-0.01385907,0.001974451,-0.006696661
Reset#: 47; Best Score: 120,0,BlueSunWithTrail,0.12527,0.8568326,0.1010932,0.12527,0.8568326,0.1010932,0,0,0,0,0,0
Reset#: 47; Best Score: 120,1,BlueSunWithTrail,0.12527,0.8568326,0.1010932,0.12527,0.8568326,0.1010932,0,0,0,0,0,0
Reset#: 47; Best Score: 120,2,CenterEyeAnchor,0.001333658,1.402188,-1.002108,0.001333658,1.402188,-1.002108,-0.01383964,0.001972178,-0.006700967,-0.01383964,0.001972178,-0.006700967
Reset#: 48; Best Score: 120,0,BlueSunWithTrail,-0.04714041,1.078582,-0.07746388,-0.04714041,1.078582,-0.07746388,0,0,0,0,0,0
Reset#: 48; Best Score: 120,1,BlueSunWithTrail,-0.04714041,1.078582,-0.07746388,-0.04714041,1.078582,-0.07746388,0,0,0,0,0,0
Reset#: 48; Best Score: 120,2,CenterEyeAnchor,0.001334507,1.402191,-1.00211,0.001334507,1.402191,-1.00211,-0.01384305,0.001983923,-0.006696544,-0.01384305,0.001983923,-0.006696544
Reset#: 49; Best Score: 120,0,BlueSunWithTrail,-0.1200094,0.9029474,-0.2082337,-0.1200094,0.9029474,-0.2082337,0,0,0,0,0,0
Reset#: 49; Best Score: 120,1,BlueSunWithTrail,-0.1200094,0.9029474,-0.2082337,-0.1200094,0.9029474,-0.2082337,0,0,0,0,0,0
Reset#: 49; Best Score: 120,2,CenterEyeAnchor,0.00133307,1.402191,-1.002109,0.00133307,1.402191,-1.002109,-0.01383896,0.001980733,-0.006690801,-0.01383896,0.001980733,-0.006690801
Reset#: 50; Best Score: 120,0,BlueSunWithTrail,0.09662069,0.8385961,-0.2096469,0.09115692,0.8393146,-0.2112015,0,0,0,0,0,0
Reset#: 50; Best Score: 120,1,BlueSunWithTrail,0.09662069,0.8385961,-0.2096469,0.09115692,0.8393146,-0.2112015,0,0,0,0,0,0
Reset#: 50; Best Score: 120,2,CenterEyeAnchor,0.001331034,1.402194,-1.002113,0.001337483,1.4022,-1.002119,-0.01386387,0.001980766,-0.006676865,-0.01389988,0.002008725,-0.006691716
Reset#: 51; Best Score: 120,0,BlueSunWithTrail,-0.006869764,1.292996,-0.002315692,-0.006869764,1.292996,-0.002315692,0,0,0,0,0,0
Reset#: 51; Best Score: 120,1,BlueSunWithTrail,-0.006869764,1.292996,-0.002315692,-0.006869764,1.292996,-0.002315692,0,0,0,0,0,0
Reset#: 51; Best Score: 120,2,CenterEyeAnchor,0.00133941,1.402196,-1.002115,0.00133941,1.402196,-1.002115,-0.01387598,0.002012757,-0.006698368,-0.01387598,0.002012757,-0.006698368
Reset#: 52; Best Score: 120,0,BlueSunWithTrail,-0.08363377,1.042158,-0.1342265,-0.08363377,1.042158,-0.1342265,0,0,0,0,0,0
Reset#: 52; Best Score: 120,1,BlueSunWithTrail,-0.08363377,1.042158,-0.1342265,-0.08363377,1.042158,-0.1342265,0,0,0,0,0,0
Reset#: 52; Best Score: 120,2,CenterEyeAnchor,0.001340435,1.402196,-1.002114,0.001340435,1.402196,-1.002114,-0.01386699,0.002017242,-0.006697829,-0.01386699,0.002017242,-0.006697829
Reset#: 53; Best Score: 120,0,BlueSunWithTrail,-0.02994607,0.8594314,0.2437346,-0.02994607,0.8594314,0.2437346,0,0,0,0,0,0
