TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.1719328,0.915651,-0.1851604,-0.3775597,0.7993377,0.03171503,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.1719328,0.915651,-0.1851604,-0.3775597,0.7993377,0.03171503,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.001181156,1.402182,-1.002099,0,0,0,-0.01378097,0.001135851,-0.006573698
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,0.1900381,1.163066,0.05412354,0.1900381,1.163066,0.05412354,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,0.1900381,1.163066,0.05412354,0.1900381,1.163066,0.05412354,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,0.001181778,1.402178,-1.002094,0.001181778,1.402178,-1.002094,-0.01375018,0.001139788,-0.006576219,-0.01375018,0.001139788,-0.006576219
Reset#: 2; Best Score: 120,0,BlueSunWithTrail,-0.06806237,0.8658345,0.02631417,-0.06806237,0.8658345,0.02631417,0,0,0,0,0,0
Reset#: 2; Best Score: 120,1,BlueSunWithTrail,-0.06806237,0.8658345,0.02631417,-0.06806237,0.8658345,0.02631417,0,0,0,0,0,0
Reset#: 2; Best Score: 120,2,CenterEyeAnchor,0.001180839,1.402179,-1.002096,0.001180839,1.402179,-1.002096,-0.01375849,0.001136974,-0.006572936,-0.01375849,0.001136974,-0.006572936
Reset#: 3; Best Score: 120,0,BlueSunWithTrail,0.159942,1.030004,0.1303178,0.159942,1.030004,0.1303178,0,0,0,0,0,0
Reset#: 3; Best Score: 120,1,BlueSunWithTrail,0.159942,1.030004,0.1303178,0.159942,1.030004,0.1303178,0,0,0,0,0,0
