TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.1902925,0.8802654,0.08456837,0.3506072,0.8614247,0.8833902,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.1902925,0.8802654,0.08456837,0.3506072,0.8614247,0.8833902,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.0007204115,1.228791,-1.027129,0,0,0,0.002817034,0.1565082,-0.9876522
