TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.07445367,1.089898,0.246101,-0.005773434,0.4560066,-1.385351,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.07445367,1.089898,0.246101,-0.005773434,0.4560066,-1.385351,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,-0.008069955,1.225227,-1.034816,0,0,0,-0.01032396,0.1959158,-0.9791759
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.2746146,0.9785807,0.007364702,0.3323929,1.035795,0.4429606,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.2746146,0.9785807,0.007364702,0.3323929,1.035795,0.4429606,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,-0.008069985,1.225229,-1.034812,-0.008095972,1.225227,-1.034818,-0.0103227,0.1958993,-0.979179,-0.01013184,0.1959189,-0.9791771
