TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.1920818,1.017616,0.08674946,0.04201582,1.00829,-0.05574028,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.1920818,1.017616,0.08674946,0.04201582,1.00829,-0.05574028,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.000902351,1.228818,-1.027083,0,0,0,0.001065415,0.1562693,-0.9876955
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,0.2624506,0.91352,0.01673126,0.2550384,0.9171076,-0.0001798926,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,0.2624506,0.91352,0.01673126,0.2550384,0.9171076,-0.0001798926,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,0.0009024357,1.228818,-1.027082,0.0008991575,1.228818,-1.027083,0.001064035,0.1562686,-0.9876956,0.001139064,0.1562678,-0.9876954
Reset#: 2; Best Score: 120,0,BlueSunWithTrail,0.03089662,1.139013,-0.2273821,0.005592841,1.127299,-0.2138614,0,0,0,0,0,0
Reset#: 2; Best Score: 120,1,BlueSunWithTrail,0.03089662,1.139013,-0.2273821,0.005592841,1.127299,-0.2138614,0,0,0,0,0,0
Reset#: 2; Best Score: 120,2,CenterEyeAnchor,0.0008970872,1.22882,-1.027079,0.0008951798,1.228818,-1.027082,0.0011579,0.1562433,-0.9876993,0.001190641,0.156266,-0.9876955
