TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.176553,0.8672522,0.103616,0.04742065,0.9839205,0.01528795,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.176553,0.8672522,0.103616,0.04742065,0.9839205,0.01528795,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,-0.007986777,1.225179,-1.034922,0,0,0,-0.01061994,0.1960781,-0.9791302
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,0.06064587,1.201975,0.1204031,-0.06203212,0.762778,-0.1382403,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,0.06064587,1.201975,0.1204031,-0.06203212,0.762778,-0.1382403,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,-0.007985979,1.225179,-1.034921,-0.007972237,1.225155,-1.034972,-0.01062115,0.1960694,-0.9791322,-0.01057729,0.1963194,-0.9790888
