TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.08296055,0.9510626,-0.1031398,-0.02782401,0.9946722,-0.08652718,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.08296055,0.9510626,-0.1031398,-0.02782401,0.9946722,-0.08652718,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,-0.008024908,1.225248,-1.034785,0,0,0,-0.01068354,0.1957973,-0.9791914
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.02607367,0.8302358,-0.1437335,-0.2533254,1.042517,-0.03582408,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.02607367,0.8302358,-0.1437335,-0.2533254,1.042517,-0.03582408,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,-0.008024094,1.22525,-1.034781,-0.00810162,1.225218,-1.034863,-0.01068525,0.1957721,-0.9791966,-0.01002207,0.1961622,-0.9791288
