TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.1756295,1.167369,-0.1501159,-0.1661795,0.9190198,0.009264486,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.1756295,1.167369,-0.1501159,-0.1661795,0.9190198,0.009264486,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.0009683324,1.228906,-1.027002,0,0,0,0.0008865164,0.1560236,-0.9877338
