TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,0.146841,0.988382,-0.1103472,0.02569389,0.9931765,-0.05559894,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,0.146841,0.988382,-0.1103472,0.02569389,0.9931765,-0.05559894,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.1744758,1.092001,-0.8055634,0,0,0,-0.01054977,0.1965484,-0.9790424
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.05050464,1.228517,0.01934771,0.448054,-1.849848,0.182126,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.05050464,1.228517,0.01934771,0.448054,-1.849848,0.182126,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,0.1744725,1.092011,-0.8055546,0.1744534,1.092017,-0.8055524,-0.01057236,0.1966079,-0.9790314,-0.01054567,0.1966109,-0.9790258
