TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.06496435,0.8000332,-0.1533859,-0.0009247156,0.9448076,-0.00176696,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.06496435,0.8000332,-0.1533859,-0.0009247156,0.9448076,-0.00176696,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,0.0009132838,1.40218,-1.002093,0,0,0,-0.01375812,-0.000585572,-0.006613389
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.07167827,1.014201,-0.2474091,-0.07167827,1.014201,-0.2474091,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.07167827,1.014201,-0.2474091,-0.07167827,1.014201,-0.2474091,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,0.0009147488,1.402181,-1.002094,0.0009147488,1.402181,-1.002094,-0.0137584,-0.000577854,-0.006615228,-0.0137584,-0.000577854,-0.006615228
Reset#: 2; Best Score: 120,0,BlueSunWithTrail,0.01537962,1.011941,0.2018039,0.01537962,1.011941,0.2018039,0,0,0,0,0,0
Reset#: 2; Best Score: 120,1,BlueSunWithTrail,0.01537962,1.011941,0.2018039,0.01537962,1.011941,0.2018039,0,0,0,0,0,0
Reset#: 2; Best Score: 120,2,CenterEyeAnchor,0.0009139776,1.402183,-1.002096,0.0009139776,1.402183,-1.002096,-0.01377611,-0.0005870161,-0.006616437,-0.01377611,-0.0005870161,-0.006616437
Reset#: 3; Best Score: 120,0,BlueSunWithTrail,0.2714663,1.107325,0.06040688,0.2714663,1.107325,0.06040688,0,0,0,0,0,0
Reset#: 3; Best Score: 120,1,BlueSunWithTrail,0.2714663,1.107325,0.06040688,0.2714663,1.107325,0.06040688,0,0,0,0,0,0
Reset#: 3; Best Score: 120,2,CenterEyeAnchor,0.0009136945,1.402184,-1.002098,0.0009136945,1.402184,-1.002098,-0.01378783,-0.0005841986,-0.00661317,-0.01378783,-0.0005841986,-0.00661317
Reset#: 4; Best Score: 120,0,BlueSunWithTrail,0.1185386,1.033842,-0.0920069,0.1185386,1.033842,-0.0920069,0,0,0,0,0,0
Reset#: 4; Best Score: 120,1,BlueSunWithTrail,0.1185386,1.033842,-0.0920069,0.1185386,1.033842,-0.0920069,0,0,0,0,0,0
Reset#: 4; Best Score: 120,2,CenterEyeAnchor,0.0009125927,1.402187,-1.0021,0.0009125927,1.402187,-1.0021,-0.01379845,-0.0005880671,-0.006607739,-0.01379845,-0.0005880671,-0.006607739
Reset#: 5; Best Score: 120,0,BlueSunWithTrail,-0.1609529,0.9981145,-0.1379716,-0.1609529,0.9981145,-0.1379716,0,0,0,0,0,0
Reset#: 5; Best Score: 120,1,BlueSunWithTrail,-0.1609529,0.9981145,-0.1379716,-0.1609529,0.9981145,-0.1379716,0,0,0,0,0,0
Reset#: 5; Best Score: 120,2,CenterEyeAnchor,0.0009150309,1.402185,-1.002098,0.0009150309,1.402185,-1.002098,-0.01378778,-0.0005756143,-0.006612145,-0.01378778,-0.0005756143,-0.006612145
Reset#: 6; Best Score: 120,0,BlueSunWithTrail,0.03189063,0.931555,-0.2217033,0.03189063,0.931555,-0.2217033,0,0,0,0,0,0
Reset#: 6; Best Score: 120,1,BlueSunWithTrail,0.03189063,0.931555,-0.2217033,0.03189063,0.931555,-0.2217033,0,0,0,0,0,0
Reset#: 6; Best Score: 120,2,CenterEyeAnchor,0.0009192713,1.402182,-1.002095,0.0009192713,1.402182,-1.002095,-0.0137684,-0.0005730068,-0.006640727,-0.0137684,-0.0005730068,-0.006640727
Reset#: 7; Best Score: 120,0,BlueSunWithTrail,-0.1676716,1.137622,-0.1078751,-0.1676716,1.137622,-0.1078751,0,0,0,0,0,0
Reset#: 7; Best Score: 120,1,BlueSunWithTrail,-0.1676716,1.137622,-0.1078751,-0.1676716,1.137622,-0.1078751,0,0,0,0,0,0
Reset#: 7; Best Score: 120,2,CenterEyeAnchor,0.0009193197,1.402184,-1.002097,0.0009193197,1.402184,-1.002097,-0.01377979,-0.0005777408,-0.006641013,-0.01377979,-0.0005777408,-0.006641013
Reset#: 8; Best Score: 120,0,BlueSunWithTrail,-0.01232022,1.103029,-0.01881462,-0.01400177,1.093775,-0.01939616,0,0,0,0,0,0
Reset#: 8; Best Score: 120,1,BlueSunWithTrail,-0.01232022,1.103029,-0.01881462,-0.01400177,1.093775,-0.01939616,0,0,0,0,0,0
Reset#: 8; Best Score: 120,2,CenterEyeAnchor,0.0009159669,1.402185,-1.002098,0.0009243414,1.402196,-1.002109,-0.01378927,-0.0005800041,-0.00662243,-0.01385863,-0.0006348839,-0.006735453
