TrialDescriptor,Stimulus,BlobNum,StartPosX,StartPosY,StartPosZ,EndPosX,EndPosY,EndPosZ,StartRotX,StartRotY,StartRotZ,EndRotX,EndRotY,EndRotZ
Reset#: 0; Best Score: 120,0,BlueSunWithTrail,-0.0627124,1.200721,-0.2094586,-0.2845052,1.886188,-0.9202837,0,0,0,0,0,0
Reset#: 0; Best Score: 120,1,BlueSunWithTrail,-0.0627124,1.200721,-0.2094586,-0.2845052,1.886188,-0.9202837,0,0,0,0,0,0
Reset#: 0; Best Score: 120,2,CenterEyeAnchor,0,1.4,-1,-0.02142068,1.49795,-1.025821,0,0,0,-0.1200423,0.03670449,-0.002265927
Reset#: 1; Best Score: 120,0,BlueSunWithTrail,-0.04701189,0.9830171,0.09635203,0.5387623,2.022914,0.2587351,0,0,0,0,0,0
Reset#: 1; Best Score: 120,1,BlueSunWithTrail,-0.04701189,0.9830171,0.09635203,0.5387623,2.022914,0.2587351,0,0,0,0,0,0
Reset#: 1; Best Score: 120,2,CenterEyeAnchor,-0.02181838,1.49795,-1.025901,-0.03057428,1.492762,-1.031749,-0.1208288,0.03583879,-0.002260972,-0.05624907,0.05191018,0.009605127
